,p50,p50var,n,nvar,1/4*LT0R4,lt0r4var,1/4*Log(L4)
,22.0,0.2,2.84 , 0.07,1.31 , 0.011,-0.7 , 0.105
,22.7,0.2,2.92 , 0.17,1.34 , 0.034,-0.8 , 0.357
,22.8,0.5,2.46 , 0.12,1.30 , 0.022,-0.5 , 0.148
,23.7,0.4,2.76 , 0.02,1.35 , 0.004,-0.7 , 0.047
,24.5,0.2,3.36 , 0.06,1.36 , 0.005,-0.9 , 0.045
,24.5,0.5,2.26 , 0.05,1.36 , 0.01,-0.5 , 0.061
,24.7,0.2,2.87 , 0.05,1.35 , 0.004,-0.6 , 0.028
,24.8,0.2,3.01 , 0.16,1.36 , 0.008,-0.7 , 0.375
,24.8,0.4,3.18 , 0.07,1.36 , 0.009,-0.8 , 0.052
,25.0,0.6,2.68 , 0.10,1.36 , 0.009,-0.6 , 0.088
,25.0 , 0.8,2.32 , 0.10,1.45 , 0.012,
,25.8 , 0.9,2.76 , 0.09,1.38 , 0.012,-0.7 , 0.279
,25.9 , 0.4,2.72 , 0.16,1.37 , 0.012,-0.6 , 0.089
,26.2 , 0.7,2.87 , 0.08,1.38 , 0.013,-0.6 , 0.082
,26.3 , 0.3,3.18 , 0.04,1.40 , 0.006,-0.8 , 0.041
,26.5 , 0.5,2.77 , 0.06,1.39 , 0.007,-0.7 , 0.043
,26.8 , 0.2,2.93 , 0.03,1.40 , 0.003,-0.7 , 0.018
,27.2 , 0.2,2.91 , 0.02,1.41 , 0.004,-0.7 , 0.023
,27.3 , 0.5,2.90 , 0.06,1.39 , 0.009,-0.6 , 0.027
,27.7 , 0.2,3.59 , 0.15,1.43 , 0.016,-1.1 , 0.436
,28.2 , 0.2,3.54 , 0.11,1.44 , 0.007,-1.2 , 0.246
,28.7 , 0.3,2.62 , 0.06,1.42 , 0.006,-0.6 , 0.038
,28.7 , 0.5,2.99 , 0.07,1.42 , 0.009,-0.7 , 0.066
,32.5 , 0.4,3.30 , 0.06,1.48 , 0.006,-0.9 , 0.039
,33.6 , 0.7,3.25 , 0.19,1.55 , 0.011,
,36.0 , 0.4,3.15 , 0.04,1.52 , 0.006,-0.8 , 0.034
,36.6 , 0.6,3.29 , 0.19,1.53 , 0.022,-0.8 , 0.255
,36.7 , 1.3,2.91 , 0.14,1.52 , 0.034,-0.6 , 0.163
,36.8 , 0.9,2.94 , 0.14,1.52 , 0.030,-0.7 , 0.221
